index	token	frequency
858	contradictory	5
859	sentimental	21
860	feels	99
861	free	10
862	grief	12
863	laughter	9
864	interesting	85
865	lines	13
866	sarandon	5
867	cruel	9
868	weirdly	5
869	likable	7
870	robin	6
871	williams	18
872	saccharine	8
873	sentimentality	12
874	man	91
875	altogether	5
876	darker	7
877	infidelity	5
878	unfaithful	10
879	land	10
880	primarily	6
881	place	48
882	authentic	9
883	told	28
884	overly	12
885	comfortable	7
886	trappings	10
887	enthralling	7
888	mystery	30
889	touches	9
890	thanks	21
891	energetic	12
892	surprising	26
893	captivating	9
894	may	181
895	narrative	47
896	soap	27
897	woman	35
898	tragic	16
899	duvall	5
900	strong	45
901	cinematic	51
902	person	13
903	delivers	31
904	measured	6
905	against	32
906	practically	5
907	predecessor	11
908	silence	8
909	red	18
910	dragon	12
911	exceptional	7
912	exhilarating	13
913	serving	7
914	fluff	9
915	engrossing	25
916	moral	23
917	twisted	11
918	sense	106
919	cast	111
920	thoroughly	26
921	enjoyed	11
922	disturbing	9
923	son	12
924	becomes	45
925	exercise	45
926	trying	46
927	moment	26
928	heartfelt	15
929	conviction	12
930	tell	25
931	destination	5
932	places	17
933	came	7
934	draws	6
935	whom	10
936	deadly	10
937	foreign	10
938	diverting	14
939	family	84
940	teen	26
941	giddy	5
942	whimsical	8
943	relevant	5
944	intriguing	31
945	premise	51
946	pianist	9
947	roman	8
948	polanski	12
949	justice	16
950	sci-fi	21
951	genre	49
952	poignant	18
953	delicately	7
954	complex	31
955	our	67
956	unlike	11
957	many	140
958	revenge	10
959	fantasies	6
960	cho	10
961	latest	23
962	set	43
963	stuff	34
964	saying	9
965	wanted	15
966	say	56
967	roots	7
968	get	108
969	stories	34
970	paradiso	6
971	scenes	70
972	fights	7
973	teenage	9
974	over	100
975	youth	6
976	mixture	9
977	inner	7
978	loneliness	7
979	sade	9
980	chemistry	18
981	relationship	20
982	le	5
983	filmmakers	52
984	eight	13
985	legged	8
986	freaks	10
987	perfectly	26
988	diversion	6
989	strength	13
990	details	12
991	larger	7
992	paints	5
993	culture	37
994	conflict	12
995	thin	24
996	history	56
997	sequel	30
998	report	11
999	kind	97
1000	moore	15
1001	leaves	28
1002	positive	7
1003	impression	10
1004	uneasy	6
1005	sensual	6
1006	delights	6
1007	violence	28
1008	center	7
1009	girls	19
1010	swim	5
1011	represents	13
1012	engaging	47
1013	intimate	17
1014	talented	19
1015	entry	5
1016	flawed	23
1017	seeing	32
1018	dirty	9
1019	deeds	6
1020	david	25
1021	mainstream	14
1022	filmmaking	41
1023	international	5
1024	under	47
1025	control	5
1026	natural	11
1027	screen	81
1028	humanity	16
1029	wedding	16
1030	balance	13
1031	hell	19
1032	house	21
1033	cautionary	10
1034	christian	8
1035	same	63
1036	name	18
1037	motion	15
1038	illustrates	5
1039	tragedy	27
1040	comedic	12
1041	notorious	7
1042	verbal	5
1043	marks	13
1044	day	42
1045	beach	5
1046	air	24
1047	frida	10
1048	romance	38
1049	sets	18
1050	apart	19
1051	king	14
1052	flair	10
1053	nicely	12
1054	element	7
1055	surprise	20
1056	large	13
1057	extremely	16
1058	acted	23
1059	four	24
1060	primary	5
1061	seriously	18
1062	easily	32
1063	forgotten	10
1064	sweetness	6
1065	woody	11
1066	seems	96
1067	k-19	7
1068	overlong	6
1069	surprisingly	44
1070	violent	12
1071	bit	63
1072	exploitative	8
1073	morally	5
1074	alert	5
1075	visual	54
1076	style	58
1077	stylistic	6
1078	artistic	11
1079	begins	20
1080	promise	17
1081	runs	16
1082	plot	134
1083	perhaps	19
1084	sports	13
1085	timing	8
1086	creates	21
1087	visceral	11
1088	lives	42
1089	above	31
1090	melodramatic	18
1091	lifetime	6
1092	sensitive	17
1093	edgy	5
1094	punch	8
1095	reasonably	9
1096	strain	7
1097	credibility	8
1098	reno	13
1099	manages	56
1100	absurdity	6
1101	situation	19
1102	fashion	10
1103	truth	21
1104	confident	6
1105	emotionally	26
1106	devastating	10
1107	community	11
1108	directs	7
1109	ensemble	19
1110	casting	18
1111	lot	84
1112	smarter	10
1113	unnerving	6
1114	sequels	11
1115	romantic	76
1116	crime	28
1117	clever	52
1118	amusing	42
1119	unpredictable	7
1120	stands	12
1121	letting	8
1122	forces	5
1123	ponder	7
1124	incredibly	12
1125	insanely	6
1126	devices	5
1127	cool	23
1128	wickedly	5
1129	sick	11
1130	got	33
1131	someone	21
1132	getting	27
1133	something	142
1134	old-fashioned	21
1135	substance	16
1136	teacher	8
1137	down	94
1138	encounter	8
1139	song	8
1140	includes	5
1141	full	76
1142	miyazaki	5
1143	unsettling	23
1144	landscape	8
1145	complexity	7
1146	pleasures	10
1147	keep	61
1148	moviegoers	10
1149	henry	6
1150	kissinger	11
1151	faithful	9
1152	argue	6
1153	necessary	11
1154	special	62
1155	effects	39
1156	raised	5
1157	kiddie	5
1158	fantasy	24
1159	wit	38
1160	setting	16
1161	rowdy	5
1162	slapstick	14
1163	basic	11
1164	lilo	5
1165	vintage	7
1166	script	105
1167	brutally	8
1168	documentary	90
1169	wrong	27
1170	shock	10
1171	refusal	6
1172	filled	18
1173	gentle	22
1174	dramatic	40
1175	haunting	12
1176	ode	8
1177	deft	9
1178	portrait	45
1179	dry	19
1180	triumph	15
1181	narratively	5
1182	haynes	6
1183	homage	11
1184	imitation	7
1185	transcends	7
1186	put	35
1187	intense	13
1188	effective	21
1189	chilly	7
1190	spend	11
1191	although	41
1192	involving	16
1193	having	24
1194	growing	12
1195	anything	55
1196	proves	37
1197	mainly	9
1198	korean	5
1199	two	121
1200	york	22
1201	struggle	12
1202	top-notch	6
1203	powers	14
1204	pathos	6
1205	journey	25
1206	shame	14
1207	opportunity	15
1208	small	34
1209	evelyn	6
1210	thinking	18
1211	started	9
1212	doing	18
1213	grand	10
1214	case	31
1215	gently	7
1216	sweetly	7
1217	adventurous	5
1218	genuinely	14
1219	entirely	29
1220	false	8
1221	sentiment	9
1222	viewing	18
1223	witherspoon	5
1224	were	94
1225	hand	19
1226	magic	20
1227	visually	29
1228	fathers	5
1229	metaphor	10
1230	cultural	18
1231	view	22
1232	death	37
1233	slick	6
1234	melodrama	37
1235	subtle	19
1236	project	32
1237	vietnam	5
1238	tone	38
1239	soldiers	8
1240	main	14
1241	objective	5
1242	cost	6
1243	generation	12
1244	do	192
1245	know	56
1246	album	5
1247	enjoy	36
1248	learn	8
1249	state	8
1250	music	64
1251	business	17
1252	convincing	21
1253	water	14
1254	mark	17
1255	loss	13
1256	valuable	5
1257	strike	7
1258	nerve	6
1259	inventive	17
1260	consistently	13
1261	definitely	22
1262	impeccable	6
1263	dazzling	11
1264	feat	6
1265	thrills	16
1266	over-the-top	9
1267	ideas	33
1268	michael	29
1269	gun	6
1270	usual	24
1271	language	6
1272	usually	16
1273	power	39
1274	members	14
1275	leave	37
1276	imax	15
1277	lends	6
1278	beautifully	44
1279	fish	7
1280	lovers	5
1281	result	21
1282	depressing	16
1283	boring	37
1284	school	18
1285	worse	21
1286	technically	6
1287	superb	11
1288	shining	5
1289	talents	10
1290	team	11
1291	wilco	5
1292	win	13
1293	tsai	9
1294	reputation	5
1295	shot	34
1296	date	22
1297	alive	13
1298	likely	39
1299	broomfield	11
1300	himself	35
1301	longer	11
1302	rest	22
1303	originality	12
1304	distance	9
1305	pack	10
1306	moviemaking	10
1307	attitude	6
1308	crafted	17
1309	novel	22
1310	sex	32
1311	wonderful	27
1312	master	21
1313	surface	12
1314	forgettable	16
1315	bard	6
1316	play	33
1317	fine	34
1318	stuck	9
1319	fisher	11
1320	run	25
1321	home	44
1322	reality	29
1323	simone	5
1324	consider	9
1325	dvd	7
1326	rental	6
1327	instead	50
1328	directed	37
1329	maudlin	10
1330	desire	12
1331	singing	5
1332	dancing	5
1333	sounds	15
1334	paul	11
1335	writer-director	25
1336	$	8
1337	charmer	8
1338	indie	12
1339	dysfunctional	8
1340	killed	9
1341	anne	6
1342	inspired	15
1343	emotional	65
1344	condition	8
1345	below	9
1346	remains	33
1347	miss	11
1348	interview	6
1349	assassin	7
1350	stays	8
1351	ground	11
1352	spare	9
1353	manner	18
1354	phony	5
1355	sheer	12
1356	attempt	30
1357	noir	10
1358	presents	16
1359	future	19
1360	somehow	14
1361	managed	6
1362	past	32
1363	cliche	11
1364	call	27
1365	refreshing	14
1366	drumline	5
1367	level	36
1368	black	32
1369	complicated	12
1370	give	63
1371	creativity	8
1372	limited	10
1373	low-budget	10
1374	wonderfully	11
1375	longing	6
1376	quickly	16
1377	finds	17
1378	unable	5
1379	bitter	10
1380	storyline	13
1381	sumptuous	5
1382	visuals	14
1383	antwone	8
1384	trick	12
1385	protagonist	12
1386	rarely	28
1387	cheap	21
1388	corny	7
1389	ambition	7
1390	clarity	10
1391	openness	5
1392	italian	10
1393	modern	37
1394	whenever	7
1395	late	12
1396	marriage	7
1397	throws	9
1398	common	10
1399	concern	5
1400	changes	7
1401	sweeping	6
1402	china	7
1403	bad	164
1404	determined	10
1405	maybe	22
1406	brilliant	27
1407	imagination	26
1408	wonder	17
1409	freshness	6
1410	buoyant	8
1411	flow	6
1412	emerges	14
1413	key	9
1414	overall	29
1415	hypnotic	5
1416	evokes	6
1417	cell	6
1418	phones	5
1419	playing	21
1420	major	18
1421	trashy	7
1422	resist	8
1423	sisters	5
1424	thought	30
1425	caine	6
1426	again	64
1427	lost	28
1428	admittedly	5
1429	bogdanovich	5
1430	puts	21
1431	showcases	6
1432	breezy	7
1433	caper	9
1434	soulful	6
1435	incisive	5
1436	meditation	17
1437	capable	10
1438	intensely	5
1439	reveals	19
1440	important	19
1441	service	9
1442	good-natured	7
1443	found	30
1444	fare	15
1445	cult	10
1446	mel	5
1447	brutal	6
1448	90-minute	6
1449	battle	18
1450	sequence	14
1451	issue	6
1452	graceful	5
1453	tribute	15
1454	courage	10
1455	finest	5
1456	understated	7
1457	nation	7
1458	whose	47
1459	cannes	7
1460	money	18
1461	looking	41
1462	hoping	8
1463	hugely	8
1464	grant	23
1465	yarn	10
1466	simultaneously	8
1467	kiss	9
1468	subversive	7
1469	disney	25
1470	cartoon	18
1471	providing	6
1472	unexpected	20
1473	morality	6
1474	expectation	7
1475	tradition	8
1476	occasionally	27
1477	experiment	5
1478	gifted	8
1479	artists	7
1480	return	10
1481	sane	5
1482	clearly	17
1483	strikes	6
1484	achievement	10
1485	grandeur	7
1486	leigh	7
1487	directors	15
1488	soul	14
1489	fails	37
1490	him	57
1491	repetitive	10
1492	directing	10
1493	haneke	5
1494	steers	6
1495	clear	20
1496	sensational	5
1497	unflinching	8
1498	decidedly	6
1499	perverse	6
1500	pathology	5
1501	entire	22
1502	mood	28
1503	ring	9
1504	largely	15
1505	elegantly	6
1506	colorful	17
1507	sound	17
1508	else	41
1509	succeed	8
1510	dressed	5
1511	parable	9
1512	irresistible	5
1513	memorable	29
1514	fence	5
1515	angry	5
1516	heartbreaking	8
1517	heartwarming	11
1518	fable	7
1519	masterfully	6
1520	taut	5
1521	atmosphere	16
1522	falls	29
1523	somewhat	23
1524	short	54
1525	terrible	17
1526	hopeful	9
1527	war	51
1528	waste	16
1529	divine	5
1530	single	21
1531	dignity	8
1532	delightfully	9
1533	elegant	11
1534	during	30
1535	discovery	8
1536	displays	5
1537	class	16
1538	happened	9
1539	already	34
1540	black-and-white	5
1541	quite	91
1542	star	49
1543	need	57
1544	onto	10
1545	ryan	14
1546	gosling	8
1547	minor	13
1548	denying	5
1549	influence	5
1550	performers	13
1551	yes	17
1552	legacy	5
1553	hardly	21
1554	bullock	16
1555	innocent	5
1556	passionate	7
1557	figures	7
1558	proceedings	9
1559	image	8
1560	hilarious	32
1561	nonetheless	6
1562	thomas	6
1563	1	6
1564	10	12
1565	fast	15
1566	aimed	7
1567	several	20
1568	hope	19
1569	despair	9
1570	schmidt	8
1571	closer	6
1572	demanding	7
1573	did	64
1574	nonsense	7
1575	shyamalan	11
1576	empty	15
1577	head	29
1578	fills	6
1579	purpose	16
1580	add	18
1581	body	13
1582	count	10
1583	sexy	18
1584	peculiar	7
1585	costume	6
1586	based	19
1587	events	26
1588	arguments	5
1589	plays	52
1590	somebody	5
1591	highly	22
1592	spirited	7
1593	imaginative	12
1594	kid	18
1595	god	13
1596	afraid	9
1597	creation	6
1598	spider-man	10
1599	explores	5
1600	sides	11
1601	reminiscent	6
1602	well-acted	11
1603	pretentious	28
1604	satisfying	31
1605	curves	5
1606	wears	10
1607	empowerment	5
1608	sleeve	5
1609	worst	46
1610	easy	42
1611	swallow	6
1612	ii	26
1613	due	8
1614	dismissed	5
1615	mindless	15
1616	stage	11
1617	hanks	6
1618	sitting	18
1619	third	11
1620	tiny	7
1621	carried	6
1622	trifle	10
1623	deadpan	7
1624	resembles	6
1625	sly	7
1626	hot	12
1627	sake	6
1628	outrageous	10
1629	ingenious	6
1630	talent	27
1631	excess	8
1632	unfocused	8
1633	heroes	6
1634	20th	5
1635	pop	15
1636	consequences	5
1637	times	70
1638	dull	55
1639	stock	14
1640	provide	14
1641	100	5
1642	minutes	99
1643	eric	8
1644	schaeffer	5
1645	strictly	10
1646	speaking	9
1647	absolutely	17
1648	positively	5
1649	combination	12
1650	intrigue	12
1651	murder	21
1652	clooney	6
1653	kaufman	9
1654	deep	24
1655	bow	5
1656	critical	5
1657	commercial	10
1658	disaster	12
1659	variety	7
1660	root	5
1661	winner	6
1662	digital	10
1663	among	19
1664	dahmer	7
1665	game	25
1666	victims	8
1667	decided	6
1668	lack	36
1669	execution	24
1670	poignancy	8
1671	burns	11
1672	carry	7
1673	waydowntown	5
1674	acceptable	7
1675	forget	18
1676	developed	6
1677	2	21
1678	cheese	5
1679	unsentimental	5
1680	mothman	6
1681	prophecies	5
1682	demons	5
1683	cable	6
1684	channel	8
1685	hybrid	8
1686	barely	26
1687	stops	7
1688	giving	15
1689	nearly	47
1690	hours	37
1691	irritating	12
1692	mostly	41
1693	martha	8
1694	used	20
1695	15	7
1696	cut	22
1697	pleasurable	5
1698	pain	11
1699	credits	11
1700	roll	9
1701	stomach	8
1702	tasty	8
1703	admire	9
1704	intensity	11
1705	express	5
1706	genuine	19
1707	directorial	14
1708	tour	7
1709	force	18
1710	low-key	11
1711	folk	5
1712	company	18
1713	noble	6
1714	endeavor	8
1715	pleasant	16
1716	slightly	17
1717	coppola	5
1718	debut	40
1719	paced	10
1720	development	9
1721	decent	20
1722	meaningful	6
1723	martial	5
1724	adults	23
1725	inside	24
1726	men	41
1727	anybody	6
1728	harrowing	8
1729	painful	19
1730	equally	16
1731	able	24
1732	tear	6
1733	destruction	5
1734	keeping	7
1735	believable	15
1736	understand	18
1737	earth	9
1738	why	60
1739	lesson	10
1740	hilarity	5
1741	vital	8
1742	sympathy	10
1743	adolescent	9
1744	lawrence	13
1745	somewhere	15
1746	along	34
1747	crucial	5
1748	friday	11
1749	night	14
1750	excuse	11
1751	eat	6
1752	nevertheless	9
1753	feathers	5
1754	rewards	7
1755	sand	7
1756	fierce	9
1757	older	12
1758	happen	12
1759	greene	5
1760	jokes	31
1761	expect	22
1762	committed	7
1763	hype	6
1764	less	99
1765	successful	18
1766	plenty	26
1767	straight	24
1768	ages	13
1769	manage	10
1770	spell	6
1771	ranks	6
1772	herzog	8
1773	form	17
1774	catch	9
1775	score	13
1776	trademark	7
1777	refreshingly	10
1778	j.	7
1779	barry	11
1780	quality	22
1781	neil	6
1782	burger	5
1783	fake	8
1784	doubt	19
1785	deserves	20
1786	credit	14
1787	remarkably	14
1788	reminder	5
1789	evans	7
1790	concerned	12
1791	souls	7
1792	odd	23
1793	tedious	23
1794	secret	9
1795	ballot	5
1796	brain	14
1797	wildly	15
1798	standards	10
1799	chick	7
1800	damned	17
