index	token	frequency
831	inspiring	11
832	joy	12
833	spielberg	22
834	brings	20
835	another	106
836	masterpiece	19
837	finally	29
838	french-produced	1
839	read	19
840	lips	6
841	understands	6
842	must	33
843	ms.	15
844	seigner	1
845	serrault	2
846	bring	24
847	fresh	34
848	naturalism	2
849	outgag	1
850	whippersnappers	1
851	moving	57
852	pictures	22
853	today	15
854	solid	37
855	pedigree	5
856	front	10
857	specifically	5
858	behind	22
859	camera	36
860	no	259
861	slam-dunk	1
862	disappoint	4
863	moved	5
864	edge	17
865	seats	4
866	dynamic	4
867	touching	30
868	transcendent	2
869	encourage	2
870	alike	5
871	go	81
872	see	125
873	unique	17
874	entertaining	93
875	twist	16
876	classic	36
877	whale	5
878	wo	43
879	sorry	5
880	literary	8
881	detective	3
882	aficionados	5
883	whodunit	4
884	disappointed	7
885	high	47
886	crimes	14
887	steals	4
888	freely	2
889	combines	7
890	disparate	4
891	types	4
892	ca	84
893	help	26
894	engage	6
895	audience	108
896	fan	15
897	series	49
898	twice	13
899	celebrates	7
900	group	11
901	spark	10
902	nonconformity	1
903	glancing	1
904	back	75
905	hibiscus	1
906	grandly	1
907	angels	5
908	ironic	7
909	ridiculous	9
910	money-oriented	1
911	record	10
912	industry	13
913	also	115
914	testament	9
915	integrity	7
916	band	12
917	laced	1
918	liberal	4
919	doses	5
920	dark	59
921	gorgeous	23
922	exterior	3
923	photography	5
924	stable-full	1
925	such	110
926	huppert	7
927	show	55
928	steal	4
929	she	67
930	meal	3
931	channeling	2
932	kathy	3
933	baker	1
934	creepy	20
935	turn	34
936	repressed	4
937	mother	12
938	boston	1
939	public	11
940	8	6
941	women	59
942	augustine	1
943	nair	8
944	does	307
945	treat	15
946	issues	21
947	lightly	3
948	allows	16
949	confront	2
950	problems	20
951	openly	1
952	horror	39
953	real	98
954	shocks	7
955	store	6
956	unwary	1
957	viewers	32
958	filmmaker	36
959	secrets	10
960	buried	5
961	knows	22
962	revealing	9
963	strange	26
964	occurrences	1
965	build	7
966	mind	36
967	viewer	27
968	urgency	6
969	certain	23
970	ghoulish	1
971	fascination	3
972	generates	5
973	fair	10
974	b-movie	12
975	excitement	14
976	familiar	48
977	utterly	18
978	keeps	24
979	hooked	1
980	delicious	6
981	pulpiness	1
982	lurid	5
983	fiction	15
984	aims	8
985	funny	216
986	uplifting	9
987	once	70
988	extent	5
989	which	188
990	succeeds	19
991	impressive	21
992	brilliantly	7
993	shines	5
994	direction	56
995	intelligently	3
996	accomplished	9
997	while	159
998	collegiate	1
999	gross-out	13
1000	goes	51
1001	long	110
1002	toward	15
1003	restoring	1
1004	luster	3
1005	national	12
1006	lampoon	5
1007	franchise	15
1008	reduced	3
1009	direct-to-video	4
1010	irrelevancy	1
1011	broad	8
1012	cartoonish	5
1013	accuracy	2
1014	observation	5
1015	frank	11
1016	novak	2
1017	grounded	1
1018	undeniable	7
1019	social	34
1020	realism	13
1021	addition	13
1022	hoffman	14
1023	powerful	42
1024	clinic	2
1025	rare	38
1026	offers	56
1027	thoughtful	26
1028	rewarding	9
1029	glimpse	13
1030	sort	36
1031	heartache	2
1032	felt	21
1033	feel	103
1034	someday	1
1035	jeffrey	2
1036	tambor	5
1037	intelligent	36
1038	jazz-playing	1
1039	exterminator	1
1040	oscar-worthy	2
1041	strains	4
1042	average	15
1043	white	17
1044	pick	10
1045	pieces	19
1046	stevens	4
1047	vibrant	10
1048	instincts	5
1049	difference	9
1050	countless	3
1051	flicks	16
1052	dolls	2
1053	mature	8
1054	2002	17
1055	summer	37
1056	season	11
1057	speaks	7
1058	picture	92
1059	people	123
1060	nicest	3
1061	possible	24
1062	last	60
1063	orders	3
1064	touch	21
1065	anyone	59
1066	earned	3
1067	50-year	1
1068	friendship	15
1069	meyjes	4
1070	provocative	17
1071	example	10
1072	haphazardness	1
1073	evil	18
1074	tian	3
1075	emphasizes	6
1076	isolation	5
1077	confining	1
1078	color	9
1079	liyan	1
1080	backyard	2
1081	demeaning	1
1082	subjects	11
1083	imagine	27
1084	scenario	9
1085	where	75
1086	bergman	1
1087	approaches	3
1088	swedish	3
1089	fatalism	1
1090	using	10
1091	gary	3
1092	larson	1
1093	side	27
1094	damn	8
1095	weird	21
1096	pass	10
1097	blacklight	1
1098	crowd	13
1099	cheaper	2
1100	pink	4
1101	floyd	1
1102	tickets	2
1103	remarkable	28
1104	epic	22
1105	scope	4
1106	startling	7
1107	intimacy	6
1108	achieves	12
1109	despite	72
1110	breadth	3
1111	monster	16
1112	paid	12
1113	matinee	8
1114	price	14
1115	bought	3
1116	tub	2
1117	popcorn	16
1118	guilty	14
1119	chomp	3
1120	grey	6
1121	gives	65
1122	voice	12
1123	needs	24
1124	heard	9
1125	sea	15
1126	holocaust	9
1127	suffers	24
1128	difficulties	2
1129	others	21
1130	attuned	1
1131	anarchist	1
1132	maxim	1
1133	urge	6
1134	destroy	2
1135	willing	9
1136	find	79
1137	morrison	2
1138	iconoclastic	3
1139	uses	23
1140	technology	7
1141	liberating	4
1142	miller	9
1143	tells	18
1144	compelling	65
1145	fuss	2
1146	noise	5
1147	expertly	3
1148	plucking	2
1149	tension	17
1150	existential	5
1151	pretension	8
1152	associated	3
1153	term	6
1154	laugh-a-minute	1
1155	pleaser	2
1156	lifts	4
1157	spirits	7
1158	corners	2
1159	mouth	7
1160	writer\/director	10
1161	alexander	2
1162	payne	6
1163	election	3
1164	co-writer	7
1165	jim	6
1166	taylor	6
1167	employ	2
1168	quirky	38
1169	fearless	3
1170	ability	18
1171	look	126
1172	angst	11
1173	eye	18
1174	laughing	8
1175	flaws	22
1176	insists	2
1177	virtue	2
1178	imperfection	1
1179	tough	11
1180	animated	21
1181	feature	45
1182	hit	21
1183	theaters	8
1184	since	56
1185	beauty	22
1186	beast	7
1187	11	5
1188	ago	16
1189	saves	3
1190	deeply	35
1191	affecting	12
1192	merely	23
1193	collection	12
1194	wrenching	3
1195	cases	1
1196	corcuera	1
1197	attention	24
1198	pacino	5
1199	keener	1
1200	marvelous	7
1201	spooky	10
1202	entertainment	53
1203	worthy	18
1204	ticket	7
1205	fanciful	8
1206	grisly	4
1207	engagingly	3
1208	quixotic	1
1209	enjoyable	46
1210	adaptation	23
1211	intricately	2
1212	nails	3
1213	orlean	1
1214	themes	20
1215	book	36
1216	purely	3
1217	notice	11
1218	fairly	26
1219	straightforward	8
1220	remake	21
1221	hollywood	89
1222	comedies	23
1223	father	12
1224	bride	7
1225	moonlight	5
1226	mile	10
1227	contradictory	5
1228	sentimental	21
1229	feels	99
1230	free	10
1231	offend	4
1232	analytical	3
1233	surrenders	2
1234	illogic	1
1235	grief	12
1236	permits	2
1237	laughter	9
1238	triumphs	2
1239	igby	4
1240	philippe	2
1241	oliver	3
1242	interesting	85
1243	lines	13
1244	suggest	4
1245	sarandon	5
1246	cruel	9
1247	weirdly	5
1248	likable	7
1249	wasp	1
1250	matron	1
1251	robin	6
1252	williams	18
1253	thankfully	3
1254	ditched	2
1255	saccharine	8
1256	sentimentality	12
1257	bicentennial	1
1258	man	91
1259	favour	2
1260	altogether	5
1261	darker	7
1262	cheated	2
1263	infidelity	5
1264	unfaithful	10
1265	australia	3
1266	land	10
1267	primarily	6
1268	place	48
1269	authentic	9
1270	told	28
1271	proficiently	1
1272	trounce	1
1273	overly	12
1274	comfortable	7
1275	trappings	10
1276	enthralling	7
1277	aesthetic	3
1278	steeped	3
1279	mystery	30
1280	ravishing	4
1281	baroque	2
1282	touches	9
1283	funnybone	1
1284	thanks	21
1285	energetic	12
1286	surprising	26
1287	rachel	2
1288	griffiths	3
1289	captivating	9
1290	may	181
1291	narrative	47
1292	informed	2
1293	wireless	1
1294	daytime	4
1295	soap	27
1296	woman	35
1297	tragic	16
1298	odyssey	4
1299	duvall	5
1300	strong	45
1301	no-holds-barred	1
1302	cinematic	51
1303	hard-hearted	1
1304	person	13
1305	underestimated	3
1306	delivers	31
1307	goodies	1
1308	lumps	1
1309	coal	3
1310	measured	6
1311	against	32
1312	practically	5
1313	like-themed	1
1314	oscar-sweeping	1
1315	predecessor	11
1316	silence	8
1317	lambs	4
1318	red	18
1319	dragon	12
1320	rates	1
1321	exceptional	7
1322	exhilarating	13
1323	serving	7
1324	fluff	9
1325	maelstrom	4
1326	engrossing	25
1327	moral	23
1328	twisted	11
1329	sense	106
1330	cast	111
1331	crew	3
1332	thoroughly	26
1333	enjoyed	11
1334	believed	1
1335	small-budget	1
1336	disturbing	9
1337	son	12
1338	becomes	45
1339	exercise	45
1340	trying	46
1341	predict	2
1342	preordained	2
1343	moment	26
1344	occur	2
1345	heartfelt	15
1346	conviction	12
1347	tell	25
1348	discovering	2
1349	destination	5
1350	acknowledging	1
1351	places	17
1352	whence	1
1353	came	7
1354	journalistic	2
1355	draws	6
1356	whom	10
1357	expedience	2
1358	became	2
1359	deadly	10
1360	foreign	10
1361	policy	3
1362	insider	2
1363	star-making	1
1364	machinery	1
1365	tinseltown	3
1366	diverting	14
1367	family	84
1368	party-hearty	1
1369	teen	26
1370	scalds	1
1371	acid	1
1372	giddy	5
1373	whimsical	8
1374	relevant	5
1375	270	1
1376	intriguing	31
1377	what-if	3
1378	premise	51
1379	pianist	9
1380	roman	8
1381	polanski	12
1382	born	4
1383	justice	16
1384	stevenson	2
1385	sci-fi	21
1386	genre	49
1387	poignant	18
1388	delicately	7
1389	complex	31
1390	pander	1
1391	our	67
1392	basest	1
1393	desires	1
1394	payback	2
1395	unlike	11
1396	many	140
1397	revenge	10
1398	fantasies	6
1399	cho	10
1400	latest	23
1401	set	43
1402	stuff	34
1403	saying	9
1404	wanted	15
1405	say	56
1406	confronting	2
1407	roots	7
1408	preoccupations	1
1409	obsessions	3
1410	get	108
1411	shortcomings	3
1412	stories	34
1413	paradiso	6
1414	scenes	70
1415	improved	3
1416	eats	2
1417	meddles	1
1418	argues	1
1419	kibbitzes	1
1420	fights	7
1421	bracingly	2
1422	truthful	4
1423	antidote	3
1424	teenage	9
1425	slather	1
1426	clearasil	1
1427	over	100
1428	blemishes	1
1429	youth	6
1430	combustible	2
1431	mixture	9
1432	chafing	2
1433	inner	7
1434	loneliness	7
1435	grandiosity	3
1436	tend	3
1437	characterize	1
1438	puberty	2
1439	sade	9
1440	lay	1
1441	chemistry	18
1442	relationship	20
1443	marquis	4
1444	auteil	2
1445	emilie	1
1446	le	5
1447	besco	1
1448	filmmakers	52
1449	post-camp	1
1450	comprehension	3
1451	old-time	1
1452	good-bad	1
1453	eight	13
1454	legged	8
1455	freaks	10
1456	perfectly	26
1457	diversion	6
1458	strength	13
1459	details	12
1460	larger	7
1461	paints	5
1462	culture	37
1463	conflict	12
1464	thin	24
1465	veneer	3
1466	nationalism	1
1467	covers	4
1468	deepest	3
1469	media-soaked	1
1470	speculative	3
1471	history	56
1472	paranoid	3
1473	impulse	3
1474	sequel	30
1475	warren	2
1476	report	11
1477	faults	3
1478	kind	97
1479	unapologetic	1
1480	sweetheart	2
1481	mandy	1
1482	moore	15
1483	leaves	28
1484	positive	7
1485	impression	10
1486	saigon	2
1487	1952	3
1488	uneasy	6
1489	sensual	6
1490	delights	6
1491	simmering	1
1492	violence	28
1493	center	7
1494	girls	19
1495	swim	5
1496	represents	13
1497	engaging	47
1498	intimate	17
1499	talented	19
1500	entry	5
1501	flawed	23
1502	seeing	32
1503	ambrose	2
1504	dirty	9
1505	deeds	6
1506	david	25
1507	caesar	3
1508	stepped	2
1509	mainstream	14
1510	filmmaking	41
1511	assurance	1
1512	international	5
1513	acclaim	1
1514	tool	4
1515	under	47
1516	control	5
1517	driven	4
1518	natural	11
1519	screen	81
1520	humanity	16
1521	monsoon	4
1522	wedding	16
1523	balance	13
1524	lookin	2
1525	sin	4
1526	american-style	1
1527	hell	19
1528	house	21
1529	documents	1
1530	cautionary	10
1531	christian	8
1532	spook-a-rama	1
1533	same	63
1534	name	18
1535	motion	15
1536	illustrates	5
1537	tragedy	27
1538	comedic	12
1539	spotlights	1
1540	notorious	7
1541	c.h.o.	3
1542	verbal	5
1543	marks	13
1544	day	42
1545	beach	5
1546	air	24
1547	conditioning	3
1548	frida	10
1549	romance	38
1550	sets	18
1551	apart	19
1552	avant	1
1553	garde	1
1554	broadway	3
1555	lion	4
1556	king	14
1557	titus	2
1558	flair	10
1559	operates	2
1560	nicely	12
1561	element	7
1562	surprise	20
1563	large	13
1564	extremely	16
1565	acted	23
1566	four	24
1567	primary	5
1568	seriously	18
1569	easily	32
1570	forgotten	10
1571	exudes	2
1572	urbane	1
1573	sweetness	6
1574	woody	11
1575	seems	96
1576	bitterly	1
1577	forsaken	1
1578	k-19	7
1579	widowmaker	3
1580	overlong	6
1581	bombastic	3
1582	surprisingly	44
1583	hard-edged	1
1584	violent	12
1585	bit	63
1586	exploitative	8
1587	morally	5
1588	alert	5
1589	street-smart	1
1590	cineasts	1
1591	revel	2
1592	visual	54
1593	in-jokes	1
1594	pokes	4
1595	likes	2
1596	miramax	3
1597	chief	4
1598	harvey	1
1599	weinstein	1
1600	bluff	1
1601	style	58
1602	stylistic	6
1603	rigors	1
1604	denmark	1
1605	dogma	1
1606	movement	4
1607	artistic	11
1608	collaboration	4
1609	begins	20
1610	promise	17
1611	runs	16
1612	aground	1
1613	snared	1
1614	tangled	2
1615	plot	134
1616	perhaps	19
1617	sports	13
1618	timing	8
1619	priceless	2
1620	creates	21
1621	visceral	11
1622	lives	42
1623	conflicted	4
1624	above	31
1625	melodramatic	18
1626	lifetime	6
1627	channel-style	1
1628	anthology	1
1629	sensitive	17
1630	edgy	5
1631	punch	8
1632	reasonably	9
1633	1994	1
1634	strain	7
1635	credibility	8
1636	reno	13
1637	monologue	1
1638	manages	56
1639	incorporate	2
1640	absurdity	6
1641	situation	19
1642	well-balanced	1
1643	fashion	10
1644	truth	21
1645	confident	6
1646	emotionally	26
1647	devastating	10
1648	small-scale	1
1649	responsibility	3
1650	community	11
1651	arteta	2
1652	directs	7
1653	ensemble	19
1654	casts	4
1655	casting	18
1656	von	3
1657	sydow	1
1658	intacto	2
1659	luckiest	2
1660	stroke	3
1661	single-minded	1
1662	carpenter	4
1663	lot	84
1664	smarter	10
1665	unnerving	6
1666	sequels	11
1667	romantic	76
1668	crime	28
1669	clever	52
1670	amusing	42
1671	unpredictable	7
1672	stands	12
1673	letting	8
1674	forces	5
1675	ponder	7
1676	anew	1
1677	2\/3	1
1678	incredibly	12
1679	insanely	6
1680	devices	5
1681	cool	23
1682	backmasking	1
1683	wickedly	5
1684	sick	11
1685	got	33
1686	grinning	2
1687	entertained	4
1688	someone	21
1689	getting	27
1690	something	142
1691	old-fashioned	21
1692	substance	16
1693	teacher	8
1694	slide	2
1695	down	94
1696	slippery	3
1697	slope	1
1698	dishonesty	1
1699	encounter	8
1700	disdain	2
1701	song	8
1702	includes	5
1703	stepdad	1
1704	adjusting	1
1705	english-language	2
1706	full	76
1707	honor	4
1708	miyazaki	5
1709	teeming	3
1710	unsettling	23
1711	landscape	8
1712	complexity	7
1713	pleasures	10
1714	afford	2
1715	keep	61
1716	moviegoers	10
1717	occupied	2
1718	amidst	3
1719	serious-minded	2
1720	concerns	1
1721	year-end	1
1722	accept	4
1723	trials	2
1724	henry	6
1725	kissinger	11
1726	faithful	9
1727	portraiture	1
1728	argue	6
1729	debate	4
1730	joins	2
1731	necessary	11
1732	special	62
1733	effects	39
1734	endings	3
1735	raised	5
1736	notches	1
1737	kiddie	5
1738	fantasy	24
1739	pablum	1
1740	astringent	1
1741	wit	38
1742	hawaiian	3
1743	setting	16
1744	science-fiction	3
1745	trimmings	2
1746	rowdy	5
1747	slapstick	14
1748	basic	11
1749	lilo	5
1750	pulled	3
